12_meses,2019,2020,2021,2022,2023,2024,30_dias,Ativo,Ativo_Circulante,Cotacao,Cres_Rec_(5a),Data_ult_cot,Dia,Disponibilidades,Div_Bruta,Div_Liquida,Div_Yield,EV_/_EBIT,EV_/_EBITDA,Empresa,Max_52_sem,Mes,Min_52_sem,Nro_Acoes,Oscilacoes,P/Ativ_Circ_Liq,P/Ativos,P/Cap_Giro,P/EBIT,P/L,P/VP,PSR,Papel,Patrim_Liq,Setor,Subsetor,Tipo,Ult_balanco_processado,Valor_da_firma,Valor_de_mercado,Vol_$_med_(2m),Cart_de_Credito,Depositos
"-15,86%","107,06%","19,72%","-31,76%","-51,06%","-12,40%","-17,75%","-18,49%",72.779.600.000,9.130.380.000,"3,66","42,7%",17/06/2024,"-2,40%",6.943.360.000,10.933.900.000,3.990.500.000,"0,0%","21,11","19,96",HAPVIDA ON NM,"5,26","-11,81%","3,39",7.539.460.000,Indicadores fundamentalistas,"-1,91","0,38","10,44","18,44","-78,82","0,56","1,23",HAPV3,49.174.300.000,Serv.Med.Hospit. Analises e Diagnosticos,Serv.Med.Hospit. Analises e Diagnosticos,ON NM,31/03/2024,31.584.900.000,27.594.400.000,276.033.000,,
"-25,51%","57,51%","49,95%","-42,25%","22,68%","13,26%","-26,30%","-8,97%",48.283.300.000,18.439.200.000,"10,56","7,4%",17/06/2024,"1,83%",16.962.800.000,14.089.500.000,-2.873.280.000,"4,4%","10,75","8,85",B3 ON,"14,82","-2,94%","10,08",5.546.500.000,Indicadores fundamentalistas,"-5,88","1,21","6,58","11,31","14,67","2,95","5,90",B3SA3,19.875.000.000,Servicos Financeiros Diversos,Servicos Financeiros Diversos,ON,31/03/2024,55.697.800.000,58.571.000.000,528.272.000,,
"38,70%","29,01%","-6,10%","22,76%","46,00%","94,43%","2,80%","-4,27%",1.067.290.000.000,165.964.000.000,"34,81","19,9%",17/06/2024,"0,37%",81.761.000.000,308.955.000.000,227.194.000.000,"18,5%","3,05","2,28",PETROBRAS PN,"40,61","-5,39%","24,41",13.044.500.000,Indicadores fundamentalistas,"-0,92","0,43","37,56","2,03","4,12","1,11","0,93",PETR4,407.636.000.000,"Petroleo, Gas e Biocombustiveis","Exploracao, Refino e Distribuicao",PN,31/03/2024,681.273.000.000,454.079.000.000,1.632.370.000,,
"-70,19%","105,96%","110,07%","-71,04%","-62,05%","-21,17%","-48,79%","-30,87%",37.218.900.000,20.052.500.000,"10,99","13,9%",17/06/2024,"-3,93%",2.330.330.000,6.669.830.000,4.339.500.000,"0,0%","15,45","6,04",MAGAZ LUIZA ON NM,"37,36","-9,02%","10,99",738.995.000,Indicadores fundamentalistas,"-1,30","0,22","1,96","10,07","-14,50","0,75","0,22",MGLU3,10.899.900.000,Comercio,Eletrodomesticos,ON NM,31/03/2024,12.461.100.000,8.121.550.000,230.761.000,,
"-22,13%","18,17%","-14,20%","2,39%","-1,65%","-1,27%","-18,14%","-9,21%",133.817.000.000,34.675.000.000,"11,24","11,6%",17/06/2024,"0,00%",13.921.700.000,3.817.430.000,-10.104.300.000,"6,5%","9,89","7,26",AMBEV S/A ON,"14,89","-2,43%","11,09",15.757.700.000,Indicadores fundamentalistas,"-15,05","1,32","-747,91","10,49","12,21","2,05","2,23",ABEV3,86.594.300.000,Bebidas,Cervejas e Refrigerantes,ON,31/03/2024,167.012.000.000,177.116.000.000,359.781.000,,
"33,84%","-8,42%","-51,46%","-39,56%","140,17%","-6,63%","25,01%","1,07%",107.775.000.000,98.459.400.000,"5,65","-7,4%",17/06/2024,"0,18%",9.625.180.000,4.085.960.000,-5.539.220.000,"6,4%","7,78","5,56",CIELO ON NM,"5,65","1,07%","3,11",2.716.820.000,Indicadores fundamentalistas,"5,39","0,14","2,47","12,17","7,14","1,26","2,39",CIEL3,12.164.500.000,Servicos Financeiros Diversos,Servicos Financeiros Diversos,ON NM,31/03/2024,9.810.790.000,15.350.000.000,147.210.000,,
"-18,94%","12,89%","-15,33%","-19,06%","-11,58%","23,61%","-23,60%","-2,80%",1.613.700.000.000,,"12,97","-14,7%",17/06/2024,"1,09%",,,,"11,6%",-,-,BANCO BRADESCO S.A. PN N1,"16,98","1,53%","12,65",10.642.200.000,Indicadores fundamentalistas,-,-,-,-,"9,17","0,86",-,BBDC4,160.563.000.000,Intermediarios Financeiros,Bancos,PN N1,31/03/2024,-,138.029.000.000,510.136.000,0,0
"-49,69%","24,92%","-59,49%","-46,87%","-13,82%","64,62%","-53,58%","-21,74%",25.052.700.000,4.826.510.000,"1,62","-1,5%",17/06/2024,"-2,99%",1.780.500.000,7.779.230.000,5.998.730.000,"0,0%","7,45","4,80",COGNA ON,"3,52","-14,74%","1,62",1.876.610.000,Indicadores fundamentalistas,"-0,40","0,12","2,55","2,51","-5,47","0,26","0,51",COGN3,11.648.400.000,Diversos,Servicos Educacionais,ON,31/03/2024,9.038.830.000,3.040.100.000,68.911.200,,
"-59,41%","-4,76%","-14,82%","-63,02%","-22,89%","-40,66%","-27,83%","-5,18%",20.862.000.000,6.428.000.000,"2,93","-30,9%",17/06/2024,"-3,30%",2.849.000.000,4.553.000.000,1.704.000.000,"0,0%","2,55","1,32",PAO DE ACUCAR ON,"9,40","-5,79%","2,36",490.175.000,Indicadores fundamentalistas,"-0,15","0,07","2,16","1,16","-0,54","0,31","0,07",PCAR3,4.660.000.000,Comercio e Distribuicao,Alimentos,ON,31/03/2024,3.140.210.000,1.436.210.000,45.376.500,,
"18,58%","7,41%","-11,75%","-17,37%","23,29%","41,06%","-2,37%","-3,97%",404.740.000.000,,"31,90","39,3%",17/06/2024,"2,44%",,,,"7,4%",-,-,ITAUUNIBANCO PN N1,"34,64","1,75%","25,30",9.804.140.000,Indicadores fundamentalistas,-,-,-,-,"9,08","1,76",-,ITUB4,177.342.000.000,Intermediarios Financeiros,Bancos,PN N1,31/03/2024,-,312.752.000.000,769.726.000,141.552.000.000,84.829.000.000
