"Ticker","Nome","Negócios","Última (R$)","Variação"
"PETR4","Petrobras","53.519.200","34,68","-2,20%"
"CIEL3","Cielo","48.353.300","5,64","+0,00%"
"BBDC4","Banco Bradesco","43.700.800","12,83","+1,02%"
"HAPV3","Hapvida","41.964.800","3,75","+0,27%"
"COGN3","Cogna","36.932.500","1,67","+0,60%"
"B3SA3","B3","33.350.800","10,37","+2,88%"
"ABEV3","Ambev","22.354.900","11,24","+1,35%"
"MGLU3","Magazine Luiza","21.038.500","11,44","+1,96%"
"CPLE3","Copel","19.421.000","8,33","+0,36%"
"PCAR3","Grupo Pão de Açúcar","18.043.300","3,03","+1,00%"
"ITSA4","Itaúsa","17.444.200","9,57","+0,00%"
"RAIZ4","Raízen","17.246.900","2,80","+0,00%"
"ITUB4","Itaú Unibanco","15.401.400","31,14","-0,10%"
"AMER3","Americanas","15.068.500","0,40","+2,56%"
"CPLE6","Copel","14.593.900","9,35","+0,54%"
"LREN3","Lojas Renner","14.135.100","12,79","+1,59%"
"PETZ3","Petz","13.284.200","3,50","+3,55%"
"PETR3","Petrobras","12.402.600","36,63","-1,05%"
"VALE3","Vale","12.246.800","60,62","-0,35%"
"WEGE3","WEG","11.803.400","38,77","+0,91%"
"BBAS3","Banco do Brasil","11.112.200","26,45","-0,38%"
"CMIG4","CEMIG","11.054.600","10,01","-1,28%"
"GGBR4","Gerdau","10.989.900","17,00","-1,90%"
"CSAN3","Cosan","10.819.800","12,67","+1,69%"
"EQTL3","Equatorial Energia","10.038.600","29,78","+2,51%"
"NTCO3","Natura","9.900.000","14,80","-0,60%"
"MRVE3","MRV","9.876.400","6,85","+3,63%"
"RAIL3","Rumo","9.469.200","19,77","+1,96%"
"CVCB3","CVC","8.945.700","2,01","+4,15%"
"AZUL4","Azul","8.716.000","9,12","-0,87%"
"PRIO3","PetroRio","8.680.500","42,01","+0,36%"
"RENT3","Localiza","8.598.100","40,42","+0,60%"
"AURE3","Auren Energia","8.488.700","12,18","+0,58%"
"DASA3","Dasa","7.933.700","4,22","-10,21%"
"EMBR3","Embraer","7.854.900","37,33","-5,35%"
"SOMA3","Grupo Soma","7.546.200","5,90","+1,20%"
"ELET3","Eletrobras","7.386.800","35,69","+0,31%"
"GOAU4","Metalúrgica Gerdau","7.368.400","9,99","-1,09%"
"JBSS3","JBS","6.741.800","28,61","-1,55%"
"VAMO3","Grupo Vamos","6.732.700","7,31","+5,94%"
"USIM5","Usiminas","6.484.200","7,18","+0,28%"
"CYRE3","Cyrela","6.271.300","19,04","+0,32%"
"LWSA3","Locaweb","6.048.500","4,20","+1,94%"
"TOTS3","Totvs","6.030.000","30,59","+3,38%"
"OIBR3","Oi","5.895.200","0,50","-1,96%"
"CSNA3","Siderúrgica Nacional","5.667.600","12,03","+1,09%"
"RADL3","RaiaDrogasil","5.630.600","25,70","+2,96%"
"SUZB3","Suzano","5.534.400","48,97","+0,41%"
"ONCO3","Oncoclínicas","5.189.200","6,06","-2,26%"
"UGPA3","Ultrapar","4.911.600","21,75","+0,18%"
"BEEF3","Minerva","4.855.500","6,16","+0,49%"
"ASAI3","Assaí","4.780.300","11,66","+0,78%"
"CMIN3","CSN Mineração","4.745.500","4,88","-2,20%"
"CCRO3","Grupo CCR","4.735.800","11,59","+0,52%"
"TIMS3","TIM","4.703.400","15,87","+1,86%"
"ALPA4","Alpargatas","4.499.900","9,15","-1,51%"
"ALOS3","Allos","4.462.100","20,82","+0,48%"
"MRFG3","Marfrig","4.400.800","10,52","-1,50%"
"AESB3","AES Brasil","4.392.700","11,25","-0,09%"
"SBSP3","Sabesp","4.226.600","75,00","+0,71%"
"STBP3","Santos Brasil","4.176.300","11,79","+1,73%"
"ENEV3","Eneva","4.127.200","12,50","+0,56%"
"IFCM3","Infracommerce","4.124.500","0,36","+0,00%"
"CBAV3","CBA","4.086.200","6,53","-0,15%"
"BBDC3","Banco Bradesco","3.958.900","11,38","+0,89%"
"ANIM3","Ânima Educação","3.953.600","3,26","-0,31%"
"BRFS3","BRF","3.636.500","18,63","+0,16%"
"CRFB3","Carrefour Brasil","3.630.700","9,52","+1,17%"
"GMAT3","Grupo Mateus","3.597.200","7,21","-1,64%"
"YDUQ3","YDUQS","3.476.900","11,22","-0,71%"
"VBBR3","Vibra Energia","3.474.800","20,72","+0,39%"
"MOVI3","Movida","3.433.100","6,03","+1,17%"
"ECOR3","EcoRodovias","3.171.200","6,27","+1,29%"
"HBSA3","Hidrovias do Brasil","3.116.400","3,62","+0,56%"
"VIVA3","Vivara","3.106.700","20,35","+1,85%"
"BBSE3","BB Seguridade","3.043.900","32,46","-0,15%"
"VIVT3","Vivo","2.947.400","44,90","+1,98%"
"SIMH3","Simpar","2.858.200","5,39","+2,08%"
"SMTO3","São Martinho","2.824.300","30,74","-0,77%"
"POMO4","Marcopolo","2.809.200","6,13","+0,49%"
"JHSF3","JHSF","2.694.000","3,75","-1,32%"
"CEAB3","C&A","2.573.400","9,58","+1,81%"
"RDOR3","Rede D'Or","2.379.000","26,93","+0,67%"
"BHIA3","Casas Bahia","2.375.400","6,08","+1,33%"
"CURY3","Cury","2.268.500","18,55","-1,96%"
"LJQQ3","Lojas Quero-Quero","2.251.900","3,97","-0,50%"
"SBFG3","Grupo SBF","2.207.500","11,55","+1,32%"
"MULT3","Multiplan","2.137.200","22,46","+0,04%"
"GOLL4","GOL","2.132.100","1,08","+0,00%"
"BRAP4","Bradespar","2.058.200","18,01","-1,26%"
"TRPL4","Transmissão Paulista","2.037.200","25,25","+1,36%"
"ARZZ3","Arezzo","1.970.100","50,26","+2,36%"
"MLAS3","Multilaser","1.955.000","1,99","+0,51%"
"RRRP3","3R Petroleum","1.931.400","25,90","+0,08%"
"GFSA3","Gafisa","1.866.900","3,60","-1,64%"
"NEOE3","Neoenergia","1.832.900","18,25","+0,83%"
"CXSE3","Caixa Seguridade","1.831.500","14,48","+0,56%"
"DIRR3","Direcional","1.807.400","25,27","-0,98%"
"BRKM5","Braskem","1.736.300","18,41","+0,22%"
"EZTC3","EZTEC","1.702.500","13,30","+2,70%"
"CPFE3","CPFL Energia","1.683.000","32,73","+0,58%"
"RECV3","PetroRecôncavo","1.667.800","18,07","-1,53%"
"PDGR3","PDG Realty","1.617.100","0,19","-5,00%"
"CLSA3","ClearSale","1.614.400","7,08","+0,71%"
"ENAT3","Enauta","1.569.800","20,50","-1,20%"
"HYPE3","Hypera","1.550.800","28,74","+0,45%"
"MYPK3","Iochpe-Maxion","1.478.600","10,71","+3,08%"
"PSSA3","Porto Seguro","1.471.000","29,63","-0,10%"
"QUAL3","Qualicorp","1.465.900","1,74","+0,58%"
"EGIE3","Engie","1.451.000","44,16","+1,26%"
"DXCO3","Dexco","1.416.900","6,70","+0,60%"
"SMFT3","Smart Fit","1.390.300","21,73","-0,32%"
"KLBN4","Klabin","1.342.400","4,03","-0,98%"
"ELET6","Eletrobras","1.310.700","39,80","+0,00%"
"SRNA3","Serena Energia","1.302.400","8,44","-1,29%"
"AZEV4","Azevedo & Travassos","1.296.300","1,20","-0,83%"
"TEND3","Construtora Tenda","1.277.200","11,34","+1,07%"
"VITT3","Vittia","1.241.300","5,45","+1,11%"
"RAPT4","Randon","1.154.900","9,33","+1,08%"
"MILS3","Mills","1.105.100","10,21","+0,49%"
"GUAR3","Guararapes","1.095.400","6,80","-0,87%"
"MTRE3","Mitre Realty","1.093.200","3,46","-1,42%"
"EVEN3","Even","1.086.800","6,33","+1,77%"
"VVEO3","Viveo","1.036.300","2,14","-3,17%"
"AMAR3","Lojas Marisa","987.600","1,55","-4,32%"
"CASH3","Méliuz","965.600","5,86","-0,17%"
"SLCE3","SLC Agrícola","961.600","17,63","+0,40%"
"ODPV3","Odontoprev","958.500","11,18","-0,09%"
"BRSR6","Banrisul","957.500","10,90","+0,65%"
"NGRD3","Neogrid","953.500","0,80","-1,23%"
"SOJA3","Boa Safra Sementes","885.600","14,59","+0,48%"
"LIGT3","Light","871.400","5,29","+1,73%"
"ZAMP3","Zamp","849.000","3,55","+4,41%"
"INTB3","Intelbras","841.900","22,73","-0,53%"
"BPAN4","Banco Pan","829.500","8,57","-0,35%"
"AMBP3","Ambipar","823.600","8,40","-2,44%"
"FLRY3","Fleury","811.200","14,20","-0,35%"
"KRSA3","Kora Saúde","796.700","0,54","+3,85%"
"GGPS3","GPS","794.000","17,61","+0,46%"
"SAPR4","Sanepar","761.100","5,31","-0,75%"
"KEPL3","Kepler Weber","742.200","9,88","-0,40%"
"BMOB3","Bemobi","696.700","13,28","+1,68%"
"IRBR3","IRB Brasil RE","694.600","31,93","+0,19%"
"VULC3","Vulcabras","657.200","14,60","-0,34%"
"POSI3","Positivo","652.100","8,75","-0,79%"
